,TotalEmployees,TotalEmployeesIndia,Rating,UrlName,CompanyType,Name,CompanyReviewsLive,CompanySalaries,InterviewExperiencesLive,Age,ShortName,Logo,HQCountry,headquaters,CompanyJobsLive,HQUrlName,CompanyId,location_count,industry_string,Subscribed
26,10001-50000,10001-50000,4.09,mahindra-and-mahindra,Public,Mahindra & Mahindra,18880,24614,236,77,Mahindra & Mahindra,mahindra-and-mahindra-228,India,"Mumbai,Maharashtra",11,mumbai,228,387,"Automobile,Industrial Equipment / Machinery,Manufacturing",0
27,10001-50000,10001-50000,3.7800000000000002,indusind-bank,Public,IndusInd Bank,6159,32704,222,28,IndusInd Bank,indusind-bank,India,"Gurgaon/Gurugram,Haryana",277,gurgaon,12059,535,"Financial Services,Banking",0
28,10001-50000,10001-50000,3.71,wns,Private,WNS,6107,27705,399,26,WNS,wns-global-services,India,"Mumbai,Maharashtra",174,mumbai,2237,20,"BPO/KPO,Consulting,Analytics / KPO / Research",0
29,10001-50000,10001-50000,3.86,dxc-technology,Public,DXC Technology,6167,43938,267,31,DXC Technology,dxc-technology,Japan,"Minato,Tokyo",1653,,156031,55,"Consulting,Internet,Retail",0
30,10001-50000,1001-5000,3.9699999999999998,hinduja-global-solutions,Public,Hinduja Global Solutions,5595,15960,102,22,Hinduja Global Solutions,hinduja-global-solutions,India,"Bangalore/Bengaluru,Karnataka",105,bengaluru,2326,74,BPO / Call Centre,0
31,10001-50000,10001-50000,4.11,maruti-suzuki,Public,Maruti Suzuki India Limited,5353,17805,253,39,Maruti Suzuki,maruti,India,"New Delhi,Delhi",20,new-delhi,391,364,"Automobile,Manufacturing",0
32,100001+,50001-100000,4.06,samsung,Private,Samsung,7530,16853,259,84,Samsung,samsung,South Korea,"Suwon-Si,Gyeonggi-Do",231,,89,410,"Consumer goods,Manufacturing,Electronics,Consumer Electronics & Appliances",0
33,100001+,50001-100000,3.81,ernst-young,Private,Ernst Young,5215,52161,483,20,Ernst & Young,ey,England,London,1288,,375780,68,"Consulting,IT Services & Consulting,Accounting / Auditing",0
34,10001-50000,10001-50000,4.0,infosys-bpm,,Infosys BPM,5118,25696,373,20,Infosys BPM ,infosys-bpm,India,"Bangalore/Bengaluru,Karnataka",48,bengaluru,591767,43,"BPO/KPO,Analytics / KPO / Research",0
35,100001+,10001-50000,4.11,hsbc,Private,HSBC,5308,30710,150,20,HSBC,hsbc,India,"Pune,Maharashtra",4,london,92,54,"Financial Services,Banking",0
36,100001+,10001-50000,4.3,ericsson,Private,Ericsson,4934,23539,133,146,Ericsson,ericsson-india-global-services,Sweden,"Stockholm,Stockholm County",182,,248,126,"Internet,Telecom / ISP,Analytics / KPO / Research",0
37,10001-50000,10001-50000,4.15,bajaj-finserv,Public,Bajaj Finserv,12270,18323,160,15,Bajaj Finserv,bajaj-finserv,India,"Pune,Maharashtra",1653,,200861,611,"Financial Services,FinTech / Payments",0
38,10001-50000,10001-50000,3.7800000000000002,qconneqt,Private,Conneqt Business Solutions,4493,12599,129,20,Conneqt Business Solutions,conneqt-business-solutions,India,"Mumbai,Maharashtra",49,bengaluru,392559,143,"BPO/KPO,NBFC",0
39,5001-10000,1001-5000,3.66,byjus,Private,BYJU'S,8670,25671,933,11,BYJU'S,byjus-152843,India,"Bangalore,Karnataka",968,,152843,143,"Internet,Education / Training,e-Learning / EdTech",0
40,10001-50000,10001-50000,4.24,dr-dot-reddys,Public,Dr. Reddys Laboratories,4543,13483,138,36,Dr. Reddy's,dr-reddys,India,"Hyderabad/Secunderabad,Telangana",26,hyderabad,215,126,"Clinical Research / Contract Research,Pharmaceutical & Life Sciences",0
41,10001-50000,10001-50000,3.96,idfc-bank,Public,IDFC Bank,4419,25789,205,4,IDFC FIRST Bank,idfc-bank,India,"Mumbai,Maharashtra",433,mumbai,201070,346,"Financial Services,Banking",0
42,10001-50000,5001-10000,3.49,startek,Public,Startek,4416,9570,128,5,Startek,startek_565351,India,"Mumbai,Maharashtra",56,,565351,51,"BPO/KPO,BPO / Call Centre,IT Services & Consulting",0
43,10001-50000,10001-50000,3.88,jana-small-finance-bank,Public,Janalakshmi Financial Services,4337,12501,104,16,Jana Small Finance Bank,janalakshmi-financial-services-2511,India,"Bangalore/Bengaluru,Karnataka",92,bengaluru,2511,301,Banking,0
44,10001-50000,10001-50000,3.84,sutherland-global-services,Private,Sutherland Global Services,4675,15182,171,36,Sutherland Global Services,sutherland,United States (USA),"Pittsford,New York",445,,2251,38,"Facility Management Services,Recruitment / Staffing,IT Services & Consulting",0
45,10001-50000,1001-5000,3.84,mphasis,Public,Mphasis,4291,31061,235,22,Mphasis,mphasis,India,"Bangalore/Bengaluru,Karnataka",140,bengaluru,579,42,"Hardware & Networking,IT Services & Consulting,Software Product",0
46,10001-50000,10001-50000,4.07,cipla-pharmaceutical-ltd,Public,cipla pharmaceutical ltd,4282,14624,185,87,Cipla Pharmaceutical,cipla-pharmaceutical-ltd,India,"Mumbai,Maharashtra",19,mumbai,294737,181,"Manufacturing,Pharmaceutical & Life Sciences",0
47,10001-50000,10001-50000,4.12,icici-prudential-life-insurance,Public,ICICI Prudential Life Insurance,4166,16354,150,22,ICICI Prudential Life Insurance,icici-prudential-life-insurance,India,"Mumbai,Maharashtra",17,mumbai,12003,392,"Financial Services,Insurance",0
48,10001-50000,10001-50000,4.0,yes-bank,Public,Yes Bank,4107,26164,165,18,Yes Bank,yes-bank,India,"Mumbai,Maharashtra",45,mumbai,12083,335,"Financial Services,Banking",0
49,10001-50000,10001-50000,4.18,bajaj-allianz-life-insurance,Private,Bajaj Allianz Life Insurance,4135,16595,110,21,Bajaj Allianz Life Insurance,bajaj-allianz-life-insurance-company,India,Pune,19,pune,371745,419,"Financial Services,Insurance",0
50,5001-10000,10001-50000,4.25,asian-paints,Public,Asian Paints,4544,12910,208,80,Asian Paints,asianpaints,India,"Mumbai,Maharashtra",113,mumbai,346,314,"Chemicals / Agri Inputs,Consumer goods,Manufacturing,Retail,Chemicals",0
51,10001-50000,10001-50000,4.19,lupin,Public,Lupin,3978,13270,140,54,Lupin,lupin-ltd,India,"Mumbai,Maharashtra",9,mumbai,11859,124,"Biotech & Life sciences,Manufacturing,Pharmaceutical & Life Sciences",0
52,100001+,10001-50000,4.08,ntt-data,Private,NTT DATA,7594,30795,229,34,NTT DATA,ntt-data,Japan,"Chiyoda City,Tokyo",519,,539,36,IT Services & Consulting,0
53,100001+,100001+,4.68,indian-army,Public,Indian Army,3888,9700,54,127,Indian Army,indian-army,India,"New Delhi,Delhi",0,new-delhi,566,260,"Defence & Aerospace,Federal Agencies",0
54,10001-50000,10001-50000,4.13,hdfc-life,Public,HDFC LIFE,3766,18505,151,22,HDFC LIFE,hdfc-life,India,"Mumbai,Maharashtra",10,mumbai,378001,379,"Financial Services,Insurance",0
